2026-03-11 22:58:24,693 | INFO     | __main__ | =======================================================
2026-03-11 22:58:24,695 | INFO     | __main__ | Preprocessing: ensuring dataset split ...
2026-03-11 22:58:24,696 | INFO     | __main__ | [preprocess] Splitting raw data from conjunctiva_split ...
2026-03-11 22:58:24,932 | INFO     | __main__ |   Class 'anemia': physically augmenting 72 images to reach 800...
2026-03-11 22:59:29,880 | INFO     | __main__ |   Class 'anemia': reached 800 images in 'train'.
2026-03-11 22:59:29,982 | INFO     | __main__ |   Class 'anemia': finished with 72 original train images.
2026-03-11 22:59:30,284 | INFO     | __main__ |   Class 'non_anemia': physically augmenting 100 images to reach 800...
2026-03-11 23:00:35,213 | INFO     | __main__ |   Class 'non_anemia': reached 800 images in 'train'.
2026-03-11 23:00:35,364 | INFO     | __main__ |   Class 'non_anemia': finished with 100 original train images.
2026-03-11 23:00:35,370 | INFO     | __main__ | [preprocess] Dataset split and physical offline augmentation complete.
2026-03-11 23:00:35,377 | INFO     | __main__ | Preprocessing: validating dataset directories …
2026-03-11 23:00:35,378 | INFO     | __main__ | [preprocess] train: 2 classes found in 'data/processed\train'.
2026-03-11 23:00:35,380 | INFO     | __main__ | [preprocess] val: 2 classes found in 'data/processed\val'.
2026-03-11 23:00:35,380 | INFO     | __main__ | [preprocess] test: 2 classes found in 'data/processed\test'.
2026-03-11 23:00:35,380 | INFO     | __main__ | Discovering training classes …
2026-03-11 23:00:35,389 | INFO     | __main__ |   Class 'anemia': 800 images total in dataset split.
2026-03-11 23:00:35,394 | INFO     | __main__ |   Class 'non_anemia': 800 images total in dataset split.
2026-03-11 23:00:35,394 | INFO     | __main__ | Discovering validation classes …
2026-03-11 23:00:35,394 | INFO     | __main__ |   Class 'anemia': 9 images total in dataset split.
2026-03-11 23:00:35,394 | INFO     | __main__ |   Class 'non_anemia': 12 images total in dataset split.
2026-03-11 23:00:35,396 | INFO     | __main__ | Discovering test classes …
2026-03-11 23:00:35,396 | INFO     | __main__ |   Class 'anemia': 10 images total in dataset split.
2026-03-11 23:00:35,397 | INFO     | __main__ |   Class 'non_anemia': 14 images total in dataset split.
2026-03-11 23:00:35,400 | INFO     | __main__ | Advanced augmentation enabled for training set.
